Codice Ripartizione Geografica;Codice Regione;Codice Provincia;Codice Comune;CAP;Ripartizione;Regione;Provincia;Comune;Targa;Codice Catastale del comune;NUTS1;NUTS2(3) ;NUTS3
1;1;1;1;1001;Nord-ovest;Piemonte;Torino;Agliè;TO;A074;ITC;ITC1;ITC11
1;1;1;2;1002;Nord-ovest;Piemonte;Torino;Airasca;TO;A109;ITC;ITC1;ITC11
1;1;1;3;1003;Nord-ovest;Piemonte;Torino;Ala di Stura;TO;A117;ITC;ITC1;ITC11
1;1;1;4;1004;Nord-ovest;Piemonte;Torino;Albiano d'Ivrea;TO;A157;ITC;ITC1;ITC11
1;1;1;6;1006;Nord-ovest;Piemonte;Torino;Almese;TO;A218;ITC;ITC1;ITC11
1;1;1;7;1007;Nord-ovest;Piemonte;Torino;Alpette;TO;A221;ITC;ITC1;ITC11
1;1;1;8;1008;Nord-ovest;Piemonte;Torino;Alpignano;TO;A222;ITC;ITC1;ITC11
1;1;1;9;1009;Nord-ovest;Piemonte;Torino;Andezeno;TO;A275;ITC;ITC1;ITC11
1;1;1;10;1010;Nord-ovest;Piemonte;Torino;Andrate;TO;A282;ITC;ITC1;ITC11
1;1;1;11;1011;Nord-ovest;Piemonte;Torino;Angrogna;TO;A295;ITC;ITC1;ITC11
1;1;1;12;1012;Nord-ovest;Piemonte;Torino;Arignano;TO;A405;ITC;ITC1;ITC11
1;1;1;13;1013;Nord-ovest;Piemonte;Torino;Avigliana;TO;A518;ITC;ITC1;ITC11
1;1;1;14;1014;Nord-ovest;Piemonte;Torino;Azeglio;TO;A525;ITC;ITC1;ITC11
1;1;1;15;1015;Nord-ovest;Piemonte;Torino;Bairo;TO;A584;ITC;ITC1;ITC11
1;1;1;16;1016;Nord-ovest;Piemonte;Torino;Balangero;TO;A587;ITC;ITC1;ITC11
1;1;1;17;1017;Nord-ovest;Piemonte;Torino;Baldissero Canavese;TO;A590;ITC;ITC1;ITC11
1;1;1;18;1018;Nord-ovest;Piemonte;Torino;Baldissero Torinese;TO;A591;ITC;ITC1;ITC11
1;1;1;19;1019;Nord-ovest;Piemonte;Torino;Balme;TO;A599;ITC;ITC1;ITC11
1;1;1;20;1020;Nord-ovest;Piemonte;Torino;Banchette;TO;A607;ITC;ITC1;ITC11
1;1;1;21;1021;Nord-ovest;Piemonte;Torino;Barbania;TO;A625;ITC;ITC1;ITC11
1;1;1;22;1022;Nord-ovest;Piemonte;Torino;Bardonecchia;TO;A651;ITC;ITC1;ITC11
1;1;1;23;1023;Nord-ovest;Piemonte;Torino;Barone Canavese;TO;A673;ITC;ITC1;ITC11
1;1;1;24;1024;Nord-ovest;Piemonte;Torino;Beinasco;TO;A734;ITC;ITC1;ITC11
1;1;1;25;1025;Nord-ovest;Piemonte;Torino;Bibiana;TO;A853;ITC;ITC1;ITC11
1;1;1;26;1026;Nord-ovest;Piemonte;Torino;Bobbio Pellice;TO;A910;ITC;ITC1;ITC11
1;1;1;27;1027;Nord-ovest;Piemonte;Torino;Bollengo;TO;A941;ITC;ITC1;ITC11
1;1;1;28;1028;Nord-ovest;Piemonte;Torino;Borgaro Torinese;TO;A990;ITC;ITC1;ITC11
1;1;1;29;1029;Nord-ovest;Piemonte;Torino;Borgiallo;TO;B003;ITC;ITC1;ITC11
1;1;1;30;1030;Nord-ovest;Piemonte;Torino;Borgofranco d'Ivrea;TO;B015;ITC;ITC1;ITC11
1;1;1;31;1031;Nord-ovest;Piemonte;Torino;Borgomasino;TO;B021;ITC;ITC1;ITC11
1;1;1;32;1032;Nord-ovest;Piemonte;Torino;Borgone Susa;TO;B024;ITC;ITC1;ITC11
1;1;1;33;1033;Nord-ovest;Piemonte;Torino;Bosconero;TO;B075;ITC;ITC1;ITC11
1;1;1;34;1034;Nord-ovest;Piemonte;Torino;Brandizzo;TO;B121;ITC;ITC1;ITC11
1;1;1;35;1035;Nord-ovest;Piemonte;Torino;Bricherasio;TO;B171;ITC;ITC1;ITC11
1;1;1;36;1036;Nord-ovest;Piemonte;Torino;Brosso;TO;B205;ITC;ITC1;ITC11
1;1;1;37;1037;Nord-ovest;Piemonte;Torino;Brozolo;TO;B209;ITC;ITC1;ITC11
1;1;1;38;1038;Nord-ovest;Piemonte;Torino;Bruino;TO;B216;ITC;ITC1;ITC11
1;1;1;39;1039;Nord-ovest;Piemonte;Torino;Brusasco;TO;B225;ITC;ITC1;ITC11
1;1;1;40;1040;Nord-ovest;Piemonte;Torino;Bruzolo;TO;B232;ITC;ITC1;ITC11
1;1;1;41;1041;Nord-ovest;Piemonte;Torino;Buriasco;TO;B278;ITC;ITC1;ITC11
1;1;1;42;1042;Nord-ovest;Piemonte;Torino;Burolo;TO;B279;ITC;ITC1;ITC11
1;1;1;43;1043;Nord-ovest;Piemonte;Torino;Busano;TO;B284;ITC;ITC1;ITC11
1;1;1;44;1044;Nord-ovest;Piemonte;Torino;Bussoleno;TO;B297;ITC;ITC1;ITC11
1;1;1;45;1045;Nord-ovest;Piemonte;Torino;Buttigliera Alta;TO;B305;ITC;ITC1;ITC11
1;1;1;46;1046;Nord-ovest;Piemonte;Torino;Cafasse;TO;B350;ITC;ITC1;ITC11
1;1;1;47;1047;Nord-ovest;Piemonte;Torino;Caluso;TO;B435;ITC;ITC1;ITC11
1;1;1;48;1048;Nord-ovest;Piemonte;Torino;Cambiano;TO;B462;ITC;ITC1;ITC11
1;1;1;49;1049;Nord-ovest;Piemonte;Torino;Campiglione Fenile;TO;B512;ITC;ITC1;ITC11
1;1;1;50;1050;Nord-ovest;Piemonte;Torino;Candia Canavese;TO;B588;ITC;ITC1;ITC11
1;1;1;51;1051;Nord-ovest;Piemonte;Torino;Candiolo;TO;B592;ITC;ITC1;ITC11
1;1;1;52;1052;Nord-ovest;Piemonte;Torino;Canischio;TO;B605;ITC;ITC1;ITC11
1;1;1;53;1053;Nord-ovest;Piemonte;Torino;Cantalupa;TO;B628;ITC;ITC1;ITC11
1;1;1;54;1054;Nord-ovest;Piemonte;Torino;Cantoira;TO;B637;ITC;ITC1;ITC11
1;1;1;55;1055;Nord-ovest;Piemonte;Torino;Caprie;TO;B705;ITC;ITC1;ITC11
1;1;1;56;1056;Nord-ovest;Piemonte;Torino;Caravino;TO;B733;ITC;ITC1;ITC11
1;1;1;57;1057;Nord-ovest;Piemonte;Torino;Carema;TO;B762;ITC;ITC1;ITC11
1;1;1;58;1058;Nord-ovest;Piemonte;Torino;Carignano;TO;B777;ITC;ITC1;ITC11
1;1;1;59;1059;Nord-ovest;Piemonte;Torino;Carmagnola;TO;B791;ITC;ITC1;ITC11
1;1;1;60;1060;Nord-ovest;Piemonte;Torino;Casalborgone;TO;B867;ITC;ITC1;ITC11
1;1;1;61;1061;Nord-ovest;Piemonte;Torino;Cascinette d'Ivrea;TO;B953;ITC;ITC1;ITC11
1;1;1;62;1062;Nord-ovest;Piemonte;Torino;Caselette;TO;B955;ITC;ITC1;ITC11
1;1;1;63;1063;Nord-ovest;Piemonte;Torino;Caselle Torinese;TO;B960;ITC;ITC1;ITC11
1;1;1;64;1064;Nord-ovest;Piemonte;Torino;Castagneto Po;TO;C045;ITC;ITC1;ITC11
1;1;1;65;1065;Nord-ovest;Piemonte;Torino;Castagnole Piemonte;TO;C048;ITC;ITC1;ITC11
1;1;1;66;1066;Nord-ovest;Piemonte;Torino;Castellamonte;TO;C133;ITC;ITC1;ITC11
1;1;1;67;1067;Nord-ovest;Piemonte;Torino;Castelnuovo Nigra;TO;C241;ITC;ITC1;ITC11
1;1;1;68;1068;Nord-ovest;Piemonte;Torino;Castiglione Torinese;TO;C307;ITC;ITC1;ITC11
1;1;1;69;1069;Nord-ovest;Piemonte;Torino;Cavagnolo;TO;C369;ITC;ITC1;ITC11
1;1;1;70;1070;Nord-ovest;Piemonte;Torino;Cavour;TO;C404;ITC;ITC1;ITC11
1;1;1;71;1071;Nord-ovest;Piemonte;Torino;Cercenasco;TO;C487;ITC;ITC1;ITC11
1;1;1;72;1072;Nord-ovest;Piemonte;Torino;Ceres;TO;C497;ITC;ITC1;ITC11
1;1;1;73;1073;Nord-ovest;Piemonte;Torino;Ceresole Reale;TO;C505;ITC;ITC1;ITC11
1;1;1;74;1074;Nord-ovest;Piemonte;Torino;Cesana Torinese;TO;C564;ITC;ITC1;ITC11
1;1;1;75;1075;Nord-ovest;Piemonte;Torino;Chialamberto;TO;C604;ITC;ITC1;ITC11
1;1;1;76;1076;Nord-ovest;Piemonte;Torino;Chianocco;TO;C610;ITC;ITC1;ITC11
1;1;1;77;1077;Nord-ovest;Piemonte;Torino;Chiaverano;TO;C624;ITC;ITC1;ITC11
1;1;1;78;1078;Nord-ovest;Piemonte;Torino;Chieri;TO;C627;ITC;ITC1;ITC11
1;1;1;79;1079;Nord-ovest;Piemonte;Torino;Chiesanuova;TO;C629;ITC;ITC1;ITC11
1;1;1;80;1080;Nord-ovest;Piemonte;Torino;Chiomonte;TO;C639;ITC;ITC1;ITC11
1;1;1;81;1081;Nord-ovest;Piemonte;Torino;Chiusa di San Michele;TO;C655;ITC;ITC1;ITC11
1;1;1;82;1082;Nord-ovest;Piemonte;Torino;Chivasso;TO;C665;ITC;ITC1;ITC11
1;1;1;83;1083;Nord-ovest;Piemonte;Torino;Ciconio;TO;C679;ITC;ITC1;ITC11
1;1;1;84;1084;Nord-ovest;Piemonte;Torino;Cintano;TO;C711;ITC;ITC1;ITC11
1;1;1;85;1085;Nord-ovest;Piemonte;Torino;Cinzano;TO;C715;ITC;ITC1;ITC11
1;1;1;86;1086;Nord-ovest;Piemonte;Torino;Ciriè;TO;C722;ITC;ITC1;ITC11
1;1;1;87;1087;Nord-ovest;Piemonte;Torino;Claviere;TO;C793;ITC;ITC1;ITC11
1;1;1;88;1088;Nord-ovest;Piemonte;Torino;Coassolo Torinese;TO;C801;ITC;ITC1;ITC11
1;1;1;89;1089;Nord-ovest;Piemonte;Torino;Coazze;TO;C803;ITC;ITC1;ITC11
1;1;1;90;1090;Nord-ovest;Piemonte;Torino;Collegno;TO;C860;ITC;ITC1;ITC11
1;1;1;91;1091;Nord-ovest;Piemonte;Torino;Colleretto Castelnuovo;TO;C867;ITC;ITC1;ITC11
1;1;1;92;1092;Nord-ovest;Piemonte;Torino;Colleretto Giacosa;TO;C868;ITC;ITC1;ITC11
1;1;1;93;1093;Nord-ovest;Piemonte;Torino;Condove;TO;C955;ITC;ITC1;ITC11
1;1;1;94;1094;Nord-ovest;Piemonte;Torino;Corio;TO;D008;ITC;ITC1;ITC11
