Codice Ripartizione Geografica;Codice Regione;Codice Città Metropolitana;Codice Provincia;Progressivo del Comune ;Codice Comune;Comune;Ripartizione;Regione;Provincia;Targa;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;NUTS1;NUTS2(3) ;NUTS3
1;01;201;001;001;1001;Agliè;Nord-ovest;Piemonte;Torino;TO;1001;1001;1001;A074;ITC;ITC1;ITC11
1;01;201;001;002;1002;Airasca;Nord-ovest;Piemonte;Torino;TO;1002;1002;1002;A109;ITC;ITC1;ITC11
1;01;201;001;003;1003;Ala di Stura;Nord-ovest;Piemonte;Torino;TO;1003;1003;1003;A117;ITC;ITC1;ITC11
1;01;201;001;004;1004;Albiano d'Ivrea;Nord-ovest;Piemonte;Torino;TO;1004;1004;1004;A157;ITC;ITC1;ITC11
1;01;201;001;006;1006;Almese;Nord-ovest;Piemonte;Torino;TO;1006;1006;1006;A218;ITC;ITC1;ITC11
1;01;201;001;007;1007;Alpette;Nord-ovest;Piemonte;Torino;TO;1007;1007;1007;A221;ITC;ITC1;ITC11
1;01;201;001;008;1008;Alpignano;Nord-ovest;Piemonte;Torino;TO;1008;1008;1008;A222;ITC;ITC1;ITC11
1;01;201;001;009;1009;Andezeno;Nord-ovest;Piemonte;Torino;TO;1009;1009;1009;A275;ITC;ITC1;ITC11
1;01;201;001;010;1010;Andrate;Nord-ovest;Piemonte;Torino;TO;1010;1010;1010;A282;ITC;ITC1;ITC11
1;01;201;001;011;1011;Angrogna;Nord-ovest;Piemonte;Torino;TO;1011;1011;1011;A295;ITC;ITC1;ITC11
1;01;201;001;012;1012;Arignano;Nord-ovest;Piemonte;Torino;TO;1012;1012;1012;A405;ITC;ITC1;ITC11
1;01;201;001;013;1013;Avigliana;Nord-ovest;Piemonte;Torino;TO;1013;1013;1013;A518;ITC;ITC1;ITC11
1;01;201;001;014;1014;Azeglio;Nord-ovest;Piemonte;Torino;TO;1014;1014;1014;A525;ITC;ITC1;ITC11
1;01;201;001;015;1015;Bairo;Nord-ovest;Piemonte;Torino;TO;1015;1015;1015;A584;ITC;ITC1;ITC11
1;01;201;001;016;1016;Balangero;Nord-ovest;Piemonte;Torino;TO;1016;1016;1016;A587;ITC;ITC1;ITC11
1;01;201;001;017;1017;Baldissero Canavese;Nord-ovest;Piemonte;Torino;TO;1017;1017;1017;A590;ITC;ITC1;ITC11
1;01;201;001;018;1018;Baldissero Torinese;Nord-ovest;Piemonte;Torino;TO;1018;1018;1018;A591;ITC;ITC1;ITC11
